b'CAMP RATING'
b'Sehr gut (4.4)'
b'Sehr gut (4.3)'
b'Sehr gut (4.5)'
b'Hervorragend (5)'
b'Sehr gut (4.9)'
b'Sehr gut (4.9)'
b'Sehr gut (4.9)'
b'Sehr gut (4.8)'
b'Sehr gut (4.8)'
b'Sehr gut (4.8)'
b'Sehr gut (4.8)'
b'Sehr gut (4.8)'
b'Sehr gut (4.8)'
b'Sehr gut (4.6)'
b'Sehr gut (4.4)'
b'Sehr gut (4.8)'
b'Sehr gut (4.8)'
b'Sehr gut (4.8)'
b'Sehr gut (4.8)'
b'Sehr gut (4.8)'
b'Sehr gut (4.8)'
b'Sehr gut (4.8)'
b'Sehr gut (4.8)'
b'Sehr gut (4.8)'
b'Sehr gut (4.8)'
b'Sehr gut (4.8)'
b'Sehr gut (4.8)'
b'Sehr gut (4.8)'
b'Sehr gut (4.8)'
b'Sehr gut (4.7)'
b'Sehr gut (4.7)'
b'Sehr gut (4.7)'
b'Sehr gut (4.7)'
b'Sehr gut (4.7)'
b'Sehr gut (4.7)'
b'Sehr gut (4.7)'
b'Sehr gut (4.7)'
b'Sehr gut (4.7)'
b'Sehr gut (4.7)'
b'Sehr gut (4.7)'
b'Sehr gut (4.7)'
b'Sehr gut (4.7)'
b'Sehr gut (4.7)'
b'Sehr gut (4.7)'
b'Sehr gut (4.7)'
b'Sehr gut (4.7)'
b'Sehr gut (4.7)'
b'Sehr gut (4.7)'
b'Sehr gut (4.7)'
b'Sehr gut (4.7)'
b'Sehr gut (4.7)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.6)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.5)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.4)'
b'Sehr gut (4.3)'
b'Sehr gut (4.3)'
b'Sehr gut (4.3)'
b'Sehr gut (4.3)'
b'Sehr gut (4.3)'
b'Sehr gut (4.3)'
b'Sehr gut (4.3)'
b'Sehr gut (4.3)'
b'Sehr gut (4.3)'
b'Sehr gut (4.3)'
b'Sehr gut (4.3)'
b'Sehr gut (4.3)'
b'Sehr gut (4.3)'
b'Sehr gut (4.3)'
b'Sehr gut (4.3)'
b'Sehr gut (4.3)'
b'Sehr gut (4.3)'
b'Sehr gut (4.3)'
b'Sehr gut (4.3)'
b'Sehr gut (4.3)'
b'Sehr gut (4.3)'
b'Sehr gut (4.3)'
b'Sehr gut (4.3)'
b'Sehr gut (4.2)'
b'Sehr gut (4.2)'
b'Sehr gut (4.2)'
b'Sehr gut (4.2)'
b'Sehr gut (4.2)'
b'Sehr gut (4.2)'
b'Sehr gut (4.2)'
b'Sehr gut (4.2)'
b'Sehr gut (4.2)'
b'Sehr gut (4.2)'
b'Sehr gut (4.2)'
b'Sehr gut (4.2)'
b'Sehr gut (4.2)'
b'Sehr gut (4.2)'
b'Sehr gut (4.2)'
b'Sehr gut (4.2)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4.1)'
b'Sehr gut (4)'
b'Sehr gut (4)'
b'Sehr gut (4)'
b'Sehr gut (4)'
b'Sehr gut (4)'
b'Sehr gut (4)'
b'Sehr gut (4)'
b'Sehr gut (4)'
b'Sehr gut (4)'
b'Sehr gut (4)'
b'Sehr gut (4)'
b'Sehr gut (4)'
b'Sehr gut (4)'
b'Sehr gut (4)'
b'Sehr gut (4)'
b'Sehr gut (4)'
b'Gut (3.9)'
b'Gut (3.9)'
b'Gut (3.9)'
b'Gut (3.9)'
b'Gut (3.9)'
b'Gut (3.9)'
b'Gut (3.9)'
b'Gut (3.9)'
b'Gut (3.9)'
b'Gut (3.8)'
b'Gut (3.8)'
b'Gut (3.8)'
b'Gut (3.8)'
b'Gut (3.8)'
b'Gut (3.8)'
b'Gut (3.8)'
b'Gut (3.8)'
b'Gut (3.8)'
b'Gut (3.8)'
b'Gut (3.8)'
b'Gut (3.8)'
b'Gut (3.8)'
b'Gut (3.8)'
b'Gut (3.8)'
b'Gut (3.8)'
b'Gut (3.8)'
b'Gut (3.8)'
b'Gut (3.7)'
b'Gut (3.7)'
b'Gut (3.7)'
b'Gut (3.7)'
b'Gut (3.7)'
b'Gut (3.7)'
b'Gut (3.7)'
b'Gut (3.7)'
b'Gut (3.7)'
b'Gut (3.7)'
b'Gut (3.7)'
b'Gut (3.7)'
b'Gut (3.7)'
b'Gut (3.6)'
b'Gut (3.6)'
b'Gut (3.6)'
b'Gut (3.6)'
b'Gut (3.5)'
b'Gut (3.5)'
